Time: 2008-12-19 14:23:21.323819
Chromosome: 10
Pop: CHB
Examining 500 focal loci
Replicates in randomization test: 500
hapmap_dataset:Skipped 119427 SNPs w/ missing or monomorhic data; kept 92435
 dist      RH      ES  RHwins  ESwins    nsig
  9.0  0.0020  0.0000      56      91     267
 10.6  0.0220  0.0200      56      92     268
 14.9  0.0060  0.0180      57      92     273
 16.3  0.0280  0.0740      58      92     274
  1.4  0.0360  0.1060      59      92     276
 10.7  0.0240  0.0100      59      93     277
  2.9  0.0380  0.0280      59      94     279
 16.6  0.1420  0.0380      59      95     280
 19.0  0.0460  0.1100      60      95     284
  5.1  0.0120  0.0020      60      96     289
  4.5  0.0280  0.0620      61      96     293
  2.3  0.0560  0.0420      61      97     294
  1.6  0.0880  0.0100      61      98     296
 15.2  0.2600  0.0380      61      99     297
  1.4  0.0740  0.0320      61     100     299
  3.3  0.0180  0.0060      61     101     300
  9.9  0.0080  0.0040      61     102     302
  7.6  0.0820  0.0340      61     103     303
 18.8  0.0440  0.0380      61     104     304
  0.4  0.0220  0.0040      61     105     311
  2.3  0.1920  0.0340      61     106     314
 15.2  0.0480  0.0360      61     107     317
 17.7  0.0420  0.0160      61     108     318
  1.7  0.0300  0.0080      61     109     319
 10.4  0.0240  0.0340      62     109     320
 11.9  0.0020  0.0100      63     109     322
 15.3  0.0440  0.0280      63     110     324
  0.8  0.0020  0.0780      64     110     326
 18.9  0.0300  0.0380      65     110     327
  1.1  0.0340  0.0260      65     111     328
 16.8  0.0380  0.0320      65     112     329
  7.8  0.0200  0.1460      66     112     331
 15.9  0.0420  0.1200      67     112     332
  4.8  0.0100  0.1040      68     112     335
  5.5  0.0080  0.0020      68     113     336
  0.1  0.0420  0.0720      69     113     337
  4.9  0.0120  0.0140      70     113     338
 17.5  0.0360  0.1680      71     113     339
  2.4  0.0340  0.1740      72     113     341
 14.8  0.0420  0.0160      72     114     344
  0.0  0.0720  0.0120      72     115     345
  9.7  0.0140  0.0220      73     115     346
  0.0  0.0100  0.0320      74     115     347
  1.4  0.1160  0.0140      74     116     348
 10.9  0.0640  0.0400      74     117     349
  6.0  0.0340  0.0380      75     117     351
 14.4  0.0700  0.0440      75     118     356
  2.1  0.0240  0.0300      76     118     359
 16.3  0.0340  0.2160      77     118     363
  0.9  0.0300  0.0100      77     119     365
  9.2  0.0240  0.0280      78     119     366
 13.3  0.0500  0.0180      78     120     368
  0.1  0.0200  0.0300      79     120     370
  7.1  0.1180  0.0220      79     121     371
  5.1  0.0020  0.0260      80     121     372
 14.4  0.0040  0.0020      80     122     377
 18.5  0.0640  0.0320      80     123     378
  4.0  0.0180  0.4040      81     123     380
 17.8  0.0600  0.0480      81     124     381
  1.7  0.0160  0.0000      81     125     384
  0.9  0.0040  0.0020      81     126     386
  2.1  0.0420  0.0260      81     127     387
 17.4  0.0020  0.0040      82     127     389
  0.7  0.0220  0.0080      82     128     390
 15.0  0.0220  0.1180      83     128     391
  0.5  0.0900  0.0460      83     129     392
 16.1  0.1140  0.0300      83     130     395
  5.3  0.0260  0.0640      84     130     396
  7.0  0.0360  0.0080      84     131     397
  0.3  0.0100  0.0000      84     132     400
  8.3  0.0880  0.0340      84     133     402
  5.9  0.0520  0.0340      84     134     406
 17.3  0.0520  0.0220      84     135     407
  8.3  0.0480  0.0200      84     136     408
 17.3  0.0640  0.0160      84     137     409
  9.3  0.0880  0.0420      84     138     410
 18.5  0.0220  0.0580      85     138     411
  0.2  0.0480  0.0380      85     139     413
  1.4  0.0680  0.0340      85     140     414
  8.9  0.0540  0.0440      85     141     419
 18.0  0.4840  0.0200      85     142     420
  0.2  0.0060  0.0100      86     142     421
  1.4  0.0560  0.0440      86     143     422
  8.4  0.0980  0.0460      86     144     423
  9.4  0.0600  0.0200      86     145     426
  0.3  0.0020  0.0040      87     145     428
  1.7  0.0220  0.0880      88     145     429
  0.0  0.0080  0.0040      88     146     433
 13.6  0.0820  0.0360      88     147     434
 15.2  0.3640  0.0420      88     148     436
 19.2  0.0040  0.0000      88     149     437
  6.8  0.1360  0.0080      88     150     438
  9.7  0.0060  0.0080      89     150     440
 11.8  0.0720  0.0340      89     151     441
 14.0  0.0760  0.0240      89     152     442
 16.3  0.0800  0.0220      89     153     443
 11.8  0.0560  0.0300      89     154     445
  7.8  0.0500  0.0420      89     155     447
 12.2  0.0580  0.0420      89     156     448
  0.1  0.0040  0.0000      89     157     453
  0.5  0.0000  0.0020      90     157     454
  2.8  0.0240  0.0800      91     157     458
 10.0  0.0340  0.0240      91     158     461
  2.4  0.0900  0.0220      91     159     462
  0.1  0.0180  0.0080      91     160     464
 15.2  0.0640  0.0400      91     161     465
  0.8  0.0080  0.0000      91     162     466
 18.8  0.0680  0.0320      91     163     467
  1.1  0.0120  0.0000      91     164     468
 13.0  0.0140  0.0060      91     165     469
 14.2  0.1380  0.0120      91     166     471
 11.8  0.0340  0.0240      91     167     472
  0.0  0.0420  0.0220      91     168     474
  3.5  0.0660  0.0080      91     169     477
  9.3  0.0240  0.0660      92     169     478
 12.1  0.0300  0.0940      93     169     480
  4.5  0.0040  0.0000      93     170     482
 13.5  0.0520  0.0380      93     171     483
 14.5  0.0300  0.0980      94     171     484
 18.5  0.0400  0.0260      94     172     485
  0.2  0.0160  0.0060      94     173     486
  8.8  0.0320  0.0220      94     174     487
  0.2  0.0100  0.0040      94     175     488
  8.4  0.0020  0.0080      95     175     489
  1.2  0.1260  0.0180      95     176     492
 15.3  0.0240  0.0200      95     177     494
  8.5  0.1340  0.0100      95     178     497
  9.3  0.0200  0.0900      96     178     498
 17.6  0.0440  0.0200      96     179     499
 17.3  0.0680  0.0020      96     180     503
  2.4  0.0140  0.0060      96     181     505
  4.6  0.0160  0.1080      97     181     506
  9.5  0.0840  0.0180      97     182     507
  9.6  0.0740  0.0460      97     183     508
 12.8  0.0100  0.1060      98     183     509
 16.2  0.0240  0.0160      98     184     510
  0.6  0.0000  0.0020      99     184     511
  6.0  0.0960  0.0380      99     185     512
 18.4  0.0180  0.0140      99     186     516
  9.7  0.2860  0.0480      99     187     518
  0.4  0.0360  0.0280      99     188     519
  1.0  0.0260  0.2960     100     188     520
  3.6  0.1120  0.0400     100     189     523
  0.4  0.0000  0.0080     101     189     524
 13.7  0.1820  0.0440     101     190     525
 16.5  0.4680  0.0280     101     191     526
  1.1  0.0360  0.0620     102     191     528
  4.2  0.0900  0.0500     102     192     529
 10.5  0.0100  0.0020     102     193     530
 10.6  0.0700  0.0120     102     194     532
 11.1  0.0220  0.0080     102     195     533
 17.4  0.0980  0.0180     102     196     535
  1.4  0.0520  0.0420     102     197     538
 13.3  0.0180  0.0100     102     198     539
  3.8  0.1500  0.0500     102     199     540
 19.3  0.1440  0.0340     102     200     544
  0.8  0.0300  0.0800     103     200     545
  5.7  0.0520  0.0100     103     201     546
  7.2  0.1420  0.0140     103     202     547
 11.4  0.0500  0.0600     104     202     550
  0.9  0.0120  0.0140     105     202     551
 10.5  0.0300  0.0500     106     202     552
  5.3  0.0780  0.0200     106     203     556
  1.2  0.0060  0.0020     106     204     557
  5.5  0.0340  0.0940     107     204     558
  0.6  0.0260  0.1220     108     204     560
  5.0  0.0420  0.0360     108     205     561
  9.0  0.0060  0.0000     108     206     562
  4.6  0.0300  0.0200     108     207     566
 11.4  0.0440  0.0160     108     208     569
  0.3  0.0920  0.0460     108     209     571
  3.7  0.0560  0.0280     108     210     574
 15.7  0.0420  0.1260     109     210     575
  1.7  0.0000  0.0060     110     210     576
  0.8  0.0300  0.0260     110     211     578
 11.1  0.0660  0.0180     110     212     580
 16.5  0.4640  0.0280     110     213     581
  0.2  0.4320  0.0360     110     214     582
 10.7  0.0440  0.1020     111     214     583
 15.6  0.0460  0.0580     112     214     591
  4.7  0.4840  0.0380     112     215     593
  6.4  0.0640  0.0220     112     216     594
  8.3  0.0560  0.0240     112     217     595
  2.4  0.0200  0.0020     112     218     596
 18.6  0.0160  0.0060     112     219     597
  8.0  0.0620  0.0480     112     220     599
 11.3  0.0440  0.0560     113     220     600
  0.5  0.0620  0.0140     113     221     601
  0.7  0.0140  0.0120     113     222     602
  6.4  0.2420  0.0360     113     223     603
  7.6  0.0160  0.0360     114     223     604
  0.9  0.0160  0.0140     114     224     605
  3.8  0.1120  0.0360     114     225     606
  7.8  0.1080  0.0020     114     226     607
 11.6  0.0280  0.0300     115     226     608
  1.3  0.0320  0.0360     116     226     610
  1.4  0.1180  0.0240     116     227     611
  2.5  0.0560  0.0480     116     228     612
  2.6  0.0500  0.0940     117     228     613
  3.6  0.0020  0.0420     118     228     614
 18.3  0.0540  0.0420     118     229     615
  1.1  0.0360  0.0420     119     229     619
 12.4  0.0540  0.0280     119     230     620
  9.2  0.0220  0.0520     120     230     624
 13.3  0.0920  0.0360     120     231     625
  0.3  0.0720  0.0060     120     232     628
 19.3  0.0140  0.0120     120     233     631
 17.7  0.0320  0.0660     121     233     633
  1.0  0.0420  0.2080     122     233     634
 19.1  0.0040  0.0100     123     233     635
 18.4  0.0120  0.2020     124     233     638
  0.6  0.0000  0.0040     125     233     641
 16.5  0.0220  0.0060     125     234     642
  3.2  0.2280  0.0220     125     235     644
 12.3  0.0180  0.0080     125     236     645
 18.6  0.0300  0.1220     126     236     646
  5.6  0.1000  0.0460     126     237     647
  6.6  0.0540  0.0480     126     238     650
 17.4  0.0300  0.1120     127     238     651
  0.6  0.0520  0.0340     127     239     652
 14.8  0.0220  0.0280     128     239     653
 12.8  0.2020  0.0220     128     240     654
  1.1  0.0400  0.0200     128     241     661
  6.1  0.0100  0.0040     128     242     662
  0.5  0.0000  0.0020     129     242     663
  8.6  0.0500  0.0400     129     243     665
  0.1  0.0080  0.0440     130     243     670
  0.3  0.0080  0.0280     131     243     671
  4.2  0.2960  0.0500     131     244     674
  1.4  0.0340  0.0180     131     245     675
  7.7  0.0260  0.0460     132     245     677
  9.6  0.0140  0.0720     133     245     678
 11.4  0.0840  0.0420     133     246     679
 12.7  0.0960  0.0160     133     247     680
  5.4  0.0160  0.0100     133     248     681
  5.9  0.0480  0.0240     133     249     684
 17.0  0.0460  0.0660     134     249     685
 19.3  0.0340  0.1020     135     249     686
 10.3  0.0000  0.0040     136     249     688
 18.3  0.0640  0.0440     136     250     689
 11.7  0.0000  0.0040     137     250     690
RHwins: 137
ESwins: 250
nsig: 690
